t,p
0,0.1889210016
1,0.1909104071
2,0.194432674
3,0.1991781068
4,0.2048819716
5,0.2113189017
6,0.2182977334
7,0.2256570258
8,0.2332611581
9,0.2409969334
10,0.2487704148
11,0.2565043809
12,0.264135964
13,0.2716146094
14,0.2789003128
15,0.2859620645
16,0.2927765145
17,0.2993267764
18,0.305601417
19,0.3115935763
20,0.3173001936
21,0.3227213497
22,0.3278593241
23,0.332781579
24,0.3377674196
25,0.3430719403
26,0.3488714562
27,0.355278794
28,0.3623566294
29,0.3701282897
30,0.3785866755
31,0.3877017605
32,0.3974267363
33,0.4077030269
34,0.4184643552
35,0.4296400024
36,0.4411574027
37,0.4529441723
38,0.4649296727
39,0.4770461842
40,0.489229759
41,0.5014208133
42,0.5135645047
43,0.52561094
44,0.5375151067
45,0.5492402441
46,0.560787676
47,0.572212441
48,0.5836049613
49,0.5950742203
50,0.6067352484
51,0.6187000545
52,0.6310712986
53,0.643938116
54,0.6573736262
55,0.6714337271
56,0.686156854
57,0.7015644421
58,0.7176618879
59,0.7344398396
60,0.7518756924
61,0.7699351846
62,0.7885740222
63,0.807739478
64,0.8273719253
65,0.8474062858
66,0.867773364
67,0.8884011644
68,0.9092190677
69,0.9301667831
70,0.9512011793
71,0.9722986351
72,0.9934540432
73,1.014677427
74,1.035988868
75,1.057412204
76,1.078967777
77,1.100664357
78,1.122490265
79,1.144403652
80,1.166321898
81,1.188110209
82,1.209569704
83,1.230425689
84,1.250317402
85,1.268791255
86,1.285300301
87,1.299213192
88,1.309837237
89,1.316454341
90,1.318372449
91,1.314984703
92,1.305827509
93,1.290625713
94,1.269318926
95,1.242068025
96,1.209239542
97,1.17137432
98,1.129149371
99,1.08333159
100,1.034735905
101,0.9841868766
102,0.9324863914
103,0.8803880596
104,0.828578606
105,0.7776662872
106,0.7281753459
107,0.6805460602
108,0.6351397176
109,0.5922478609
110,0.5521057597
111,0.514909645
112,0.4808382601
113,0.450079257
114,0.4228644503
115,0.3995130373
116,0.3804959652
117,0.3665176873
118,0.3586237017
119,0.3583175062
120,0.3676324419
121,0.389016974
122,0.4247919713
123,0.4759964368
124,0.5409757902
125,0.6148564075
126,0.6908142055
127,0.7623708223
128,0.8250181793
129,0.8765030012
130,0.9162950094
131,0.9449020832
132,0.963362092
133,0.9729283037
134,0.9749062559
135,0.9705751848
136,0.9611623328
137,0.9478431395
138,0.9317620749
139,0.914067888
140,0.8959668047
141,0.8787918294
142,0.8640873682
143,0.8536808648
144,0.8496905696
145,0.8543623301
146,0.8696329007
147,0.8964059828
148,0.9336473347
149,0.9775523109
150,1.021676551
151,1.059126999
152,1.085697354
153,1.101081848
154,1.107692075
155,1.108921287
156,1.108036313
157,1.107714587
158,1.10990924
159,1.115828144
160,1.125947396
161,1.140066493
162,1.157438556
163,1.176958797
164,1.197409351
165,1.217675391
166,1.236856518
167,1.254188511
168,1.268683856
169,1.278474152
170,1.280182574
171,1.269455985
172,1.243670813
173,1.204577427
174,1.157311907
175,1.107317502
176,1.058558365
177,1.013286278
178,0.972352928
179,0.9355679043
180,0.9020192812
181,0.870393868
182,0.8392989733
183,0.8075647486
184,0.7744636942
185,0.7397968746
186,0.7038231176
187,0.6670935055
188,0.6302692768
189,0.5939937116
190,0.5588515972
191,0.5254223799
192,0.4944211421
193,0.4669017937
194,0.4444633489
195,0.4293638194
196,0.4244253294
197,0.432552227
198,0.4557531607
199,0.4940500082
200,0.5451371145
201,0.6051669992
202,0.6700037682
203,0.7360787444
204,0.8006042792
205,0.8614094992
206,0.9167265025
207,0.9651094753
208,1.005490564
209,1.037271001
210,1.060340408
211,1.075008655
212,1.081892379
213,1.081807177
214,1.075700504
215,1.064646326
216,1.049894088
217,1.032956628
218,1.015697227
219,1.000361518
220,0.9894634554
221,0.9854694454
222,0.9903414007
223,1.005099111
224,1.029456226
225,1.061394793
226,1.096624834
227,1.128564441
228,1.149974807
229,1.156032948
230,1.146275387
231,1.123766082
232,1.092962863
233,1.0581477
234,1.022831876
235,0.9897286925
236,0.9609099325
237,0.9379452927
238,0.9219467543
239,0.9134929322
240,0.9124602381
241,0.9178685142
242,0.927825839
243,0.9396807987
244,0.9502648896
245,0.9561293732
246,0.9538844957
247,0.9409606503
248,0.9167932847
249,0.8835408186
250,0.8454165575
251,0.8071887731
252,0.7731540777
253,0.7469034466
254,0.7313415797
255,0.7284780687
256,0.738938551
257,0.7615802513
258,0.7936615371
259,0.831617756
260,0.8719640726
261,0.9118454637
262,0.9491323231
263,0.9822659972
264,1.010132656
265,1.032144435
266,1.048525458
267,1.060588235
268,1.070834147
269,1.08257732
270,1.098909716
271,1.121124658
272,1.147732737
273,1.175347454
274,1.200749404
275,1.22228191
276,1.239991075
277,1.255070452
278,1.269129051
279,1.28342611
280,1.298136148
281,1.311889013
282,1.321834293
283,1.324529758
284,1.317325407
285,1.299444965
286,1.272106836
287,1.237837355
288,1.199507958
289,1.159534831
290,1.119349742
291,1.079129275
292,1.03791889
293,0.9942824934
294,0.947368915
295,0.8975944952
296,0.846353657
297,0.7952517436
298,0.7455524026
299,0.6980079901
300,0.65291415
301,0.6102621306
302,0.5699315906
303,0.5318743293
304,0.4962336101
305,0.4633715823
306,0.4338391068
307,0.4083495887
308,0.3877900604
309,0.3732498583
310,0.3660121986
311,0.3674619119
312,0.3789265498
313,0.4015544458
314,0.4363006693
315,0.4838042304
316,0.5436614602
317,0.6131661534
318,0.6869374916
319,0.7585329877
320,0.822729311
321,0.8765727577
